citation,doi
"Cavalcanti, I.F.A., Carril, A.F., Penalba, O.C., Grimm, A.M., Menéndez, C.G., Sanchez, E., Cherchi, A., Sörensson, A., Robledo, F., Rivera, J., Pántano, V., Bettolli, L.M., Zaninelli, P., Zamboni, L., Tedeschi, R.G., Dominguez, M., Ruscica, R., <b>Flach, R.</b>, 2015. Precipitation extremes over La Plata Basin – Review and new results from observations and climate simulations. Journal of Hydrology 523, 211–230.",10.1016/j.jhydrol.2015.01.028
"Çelik, A., <b>Flach, R.</b>, Van Bodegom, P.M., Zu Ermgassen, E.K.H.J., Behrens, P., Henriksson, P.J.G., Taherzadeh, O., 2026. Small-scale farmers critical to curbing deforestation linked to forest-risk commodities. Environmental Research Letters 21(14), 144028.",10.1088/1748-9326/ae860f
"Davis, K.F., Anderson, W., Ehrmann, S., <b>Flach, R.</b>, Meyer, C., Proctor, J., Ray, D., You, L., Foley, M., Kerdiles, H., Hultgren, A., Huybers, P., Kebede, E., Meroni, M., Park, C., Lee, D., 2025. HarvestStat: a global effort towards open and standardized sub-national agricultural data. Environ. Res. Lett. 20, 052001.",10.1088/1748-9326/adcb54
"Edelfeldt, S., <b>Flach, R.</b>, Balk, H., DelSontro, T., Enrich‐Prast, A., Marotta, H., Sawakuchi, H., Bastviken, D., 2025. Bubble Distribution Along Major Rivers in the Amazon During the High‐Water Season. JGR Biogeosciences 130, e2025JG009118.",10.1029/2025JG009118
"<b>Flach, R.</b>, Abrahão, G., Bryant, B., Scarabello, M., Soterroni, A.C., Ramos, F.M., Valin, H., Obersteiner, M., Cohn, A.S., 2021. Conserving the Cerrado and Amazon biomes of Brazil protects the soy economy from damaging warming. World Development 146, 105582.",10.1016/j.worlddev.2021.105582
"<b>Flach, R.</b>, Fader, M., Folberth, C., Skalský, R., Jantke, K., 2020. The effects of cropping intensity and cropland expansion of Brazilian soybean production on green water flows. Environ. Res. Commun. 2, 071001.",10.1088/2515-7620/ab9d04
"<b>Flach, R.</b>, Ran, Y., Godar, J., Karlberg, L., Suavet, C., 2016. Towards more spatially explicit assessments of virtual water flows: linking local water use and scarcity to global demand of Brazilian farming commodities. Environ. Res. Lett. 11, 075003.",10.1088/1748-9326/11/7/075003
"<b>Flach, R.</b>, Skalský, R., Folberth, C., Balkovič, J., Jantke, K., Schneider, U.A., 2020. Water productivity and footprint of major Brazilian rainfed crops – A spatially explicit analysis of crop management scenarios. Agricultural Water Management 233, 105996.",10.1016/j.agwat.2019.105996
"Gulizia, C., Langendijk, G., Huang-Lachmann, J.-T., De Amorim Borges, P., <b>Flach, R.</b>, Githaiga, C., Rahimi, M., 2020. Towards a more integrated role for early career researchers in the IPCC process. Climatic Change 159, 75–85.",10.1007/s10584-019-02604-5
"Lathuillière, M.J., <b>Flach, R.</b>, Wang-Erlandsson, L., Ribeiro, V., Zu Ermgassen, E.K.H.J., Souza, C.M., 2025. International reliance on Brazil’s water through soy and beef supply chains. Commun Earth Environ 6, 688.",10.1038/s43247-025-02658-7
